row_id,order_id,item_id,item_quantity,total_price
1,1,5,1,5.0
2,1,5,2,10.0
3,1,5,1,5.0
4,2,2,1,15.0
5,2,5,2,10.0
6,2,5,1,5.0
7,3,1,1,12.0
8,4,1,1,12.0
9,4,1,1,12.0
10,4,5,1,5.0
11,5,2,2,30.0
12,6,2,1,15.0
13,6,4,1,16.0
14,7,4,2,32.0
15,7,2,1,15.0
16,7,3,1,14.0
17,8,4,2,32.0
18,9,1,1,12.0
19,9,4,1,16.0
20,10,5,1,5.0
21,10,4,1,16.0
22,10,2,1,15.0
23,11,4,2,32.0
24,11,3,2,28.0
25,11,3,1,14.0
26,12,4,1,16.0
27,12,1,2,24.0
28,13,2,2,30.0
29,13,4,2,32.0
30,14,5,1,5.0
31,14,2,1,15.0
32,15,3,2,28.0
33,15,1,1,12.0
34,16,2,1,15.0
35,16,2,2,30.0
36,16,4,2,32.0
37,17,3,2,28.0
38,18,2,1,15.0
39,18,1,2,24.0
40,19,5,1,5.0
41,20,5,2,10.0
42,20,1,1,12.0
43,21,2,2,30.0
44,21,2,2,30.0
45,22,3,1,14.0
46,23,5,2,10.0
47,23,1,1,12.0
48,24,3,1,14.0
49,25,5,1,5.0
50,25,5,1,5.0
51,26,4,2,32.0
52,27,4,1,16.0
53,27,1,1,12.0
54,28,3,2,28.0
55,28,2,1,15.0
56,29,4,2,32.0
57,29,1,2,24.0
58,29,1,2,24.0
59,30,5,2,10.0
60,31,4,2,32.0
61,31,4,1,16.0
62,32,4,2,32.0
63,32,5,2,10.0
64,32,5,1,5.0
65,33,4,1,16.0
66,33,4,2,32.0
67,33,4,2,32.0
68,34,3,1,14.0
69,34,3,1,14.0
70,34,1,1,12.0
71,35,4,1,16.0
72,35,3,1,14.0
73,35,2,2,30.0
74,36,2,1,15.0
75,36,2,2,30.0
76,37,4,2,32.0
77,37,5,2,10.0
78,37,5,2,10.0
79,38,1,1,12.0
80,38,5,1,5.0
81,39,2,2,30.0
82,39,1,2,24.0
83,39,4,1,16.0
84,40,3,1,14.0
85,40,1,2,24.0
86,40,1,1,12.0
87,41,1,2,24.0
88,41,5,2,10.0
89,42,2,2,30.0
90,42,1,1,12.0
91,43,2,1,15.0
92,43,4,2,32.0
93,44,5,2,10.0
94,44,5,1,5.0
95,45,5,1,5.0
96,45,2,1,15.0
97,46,4,1,16.0
98,46,1,2,24.0
99,46,5,2,10.0
100,47,3,2,28.0
101,47,5,1,5.0
102,48,1,1,12.0
103,48,1,1,12.0
104,49,2,2,30.0
105,50,1,2,24.0
106,50,3,2,28.0
107,51,5,1,5.0
108,52,4,2,32.0
109,53,5,2,10.0
110,53,3,1,14.0
111,53,1,1,12.0
112,54,1,2,24.0
113,54,5,1,5.0
114,54,3,2,28.0
115,55,5,2,10.0
116,56,3,1,14.0
117,56,5,2,10.0
118,56,2,1,15.0
119,57,4,1,16.0
120,58,4,1,16.0
121,58,1,1,12.0
122,58,4,2,32.0
123,59,1,2,24.0
124,59,2,2,30.0
125,59,1,1,12.0
126,60,2,2,30.0
127,60,4,2,32.0
128,60,1,2,24.0
129,61,1,2,24.0
130,61,4,1,16.0
131,62,4,1,16.0
132,63,3,1,14.0
133,64,4,1,16.0
134,65,3,2,28.0
135,66,4,2,32.0
136,67,3,1,14.0
137,68,5,1,5.0
138,68,4,2,32.0
139,68,1,2,24.0
140,69,2,1,15.0
141,69,4,1,16.0
142,70,1,1,12.0
143,70,2,2,30.0
144,70,5,2,10.0
145,71,4,1,16.0
146,72,3,2,28.0
147,72,2,1,15.0
148,72,2,1,15.0
149,73,1,2,24.0
150,73,4,1,16.0
151,74,1,2,24.0
152,75,2,2,30.0
153,75,1,2,24.0
154,76,1,2,24.0
155,76,1,2,24.0
156,77,3,1,14.0
157,78,3,2,28.0
158,78,4,2,32.0
159,78,2,2,30.0
160,79,5,2,10.0
161,79,4,1,16.0
162,79,5,1,5.0
163,80,4,2,32.0
164,81,3,1,14.0
165,82,4,2,32.0
166,82,3,1,14.0
167,82,1,2,24.0
168,83,5,2,10.0
169,83,1,2,24.0
170,83,3,1,14.0
171,84,2,1,15.0
172,84,5,1,5.0
173,85,1,2,24.0
174,86,4,1,16.0
175,86,2,2,30.0
176,86,5,1,5.0
177,87,4,1,16.0
178,88,2,2,30.0
179,88,2,2,30.0
180,89,2,1,15.0
181,89,4,2,32.0
182,89,5,1,5.0
183,90,4,2,32.0
184,90,2,1,15.0
185,91,5,2,10.0
186,91,1,2,24.0
187,92,5,1,5.0
188,92,1,2,24.0
189,92,1,1,12.0
190,93,2,1,15.0
191,93,3,1,14.0
192,94,4,2,32.0
193,94,1,2,24.0
194,95,2,2,30.0
195,95,2,1,15.0
196,96,3,2,28.0
197,96,3,1,14.0
198,96,5,1,5.0
199,97,4,2,32.0
200,97,1,2,24.0
201,97,4,2,32.0
202,98,5,1,5.0
203,98,1,1,12.0
204,99,1,1,12.0
205,100,5,1,5.0
206,100,3,1,14.0
207,101,2,1,15.0
208,101,2,1,15.0
209,101,2,1,15.0
210,102,1,2,24.0
211,102,4,2,32.0
212,102,4,1,16.0
213,103,2,1,15.0
214,103,1,1,12.0
215,104,5,2,10.0
216,104,1,1,12.0
217,105,1,1,12.0
218,105,4,2,32.0
219,105,2,2,30.0
220,106,5,1,5.0
221,106,1,2,24.0
222,107,3,2,28.0
223,107,1,2,24.0
224,108,5,2,10.0
225,108,5,1,5.0
226,108,1,2,24.0
227,109,2,1,15.0
228,109,2,1,15.0
229,109,4,2,32.0
230,110,1,1,12.0
231,110,5,2,10.0
232,111,2,1,15.0
233,111,2,2,30.0
234,112,2,1,15.0
235,112,1,1,12.0
236,112,3,1,14.0
237,113,3,2,28.0
238,114,1,2,24.0
239,114,5,2,10.0
240,115,5,1,5.0
241,116,2,1,15.0
242,116,3,2,28.0
243,116,3,1,14.0
244,117,1,1,12.0
245,117,1,1,12.0
246,118,5,1,5.0
247,118,5,2,10.0
248,119,2,2,30.0
249,120,3,1,14.0
250,120,1,2,24.0
251,121,4,2,32.0
