order_id,cust_id,add_id,rota_id,staff_id,coupon_id,created_at,status,service_type,total_discount
1,1,2,13,13,1,2026-02-26 13:51:00,Completed,Dine-In,10.0
2,57,58,12,12,,2026-02-26 09:03:00,Completed,Dine-In,0.0
3,12,13,12,12,,2026-02-26 11:28:00,Completed,Takeaway,0.0
4,94,95,13,13,,2026-02-26 15:00:00,Completed,Dine-In,0.0
5,58,59,13,13,,2026-02-26 16:25:00,Completed,Takeaway,0.0
6,81,82,14,12,1,2026-02-26 18:01:00,Completed,Takeaway,10.0
7,47,48,13,13,1,2026-02-26 12:48:00,Completed,Takeaway,10.0
8,92,93,13,13,,2026-02-26 16:42:00,Completed,Takeaway,0.0
9,57,58,14,12,,2026-02-26 17:01:00,Completed,Takeaway,0.0
10,20,21,12,12,,2026-02-26 09:00:00,Completed,Dine-In,0.0
11,28,29,26,12,1,2026-02-27 10:34:00,Completed,Takeaway,10.0
12,56,57,27,13,,2026-02-27 13:24:00,Completed,Takeaway,0.0
13,74,75,27,13,1,2026-02-27 15:35:00,Completed,Takeaway,10.0
14,73,74,26,12,,2026-02-27 10:07:00,Completed,Takeaway,0.0
15,29,30,27,13,1,2026-02-27 15:07:00,Completed,Takeaway,10.0
16,46,47,28,12,1,2026-02-27 19:47:00,Completed,Dine-In,10.0
17,46,47,27,13,,2026-02-27 13:55:00,Completed,Dine-In,0.0
18,69,70,28,12,,2026-02-27 19:31:00,Completed,Dine-In,0.0
19,55,56,27,13,,2026-02-27 15:53:00,Completed,Dine-In,0.0
20,1,2,26,12,,2026-02-27 08:34:00,Completed,Dine-In,0.0
21,43,44,42,12,1,2026-02-28 17:18:00,Completed,Takeaway,10.0
22,5,6,40,12,,2026-02-28 10:14:00,Completed,Takeaway,0.0
23,86,87,41,13,,2026-02-28 16:57:00,Completed,Takeaway,0.0
24,42,43,41,13,,2026-02-28 13:44:00,Completed,Dine-In,0.0
25,66,67,40,12,1,2026-02-28 12:09:00,Completed,Dine-In,10.0
26,63,64,42,12,,2026-02-28 19:17:00,Completed,Takeaway,0.0
27,75,76,40,12,1,2026-02-28 10:20:00,Completed,Takeaway,10.0
28,15,16,41,13,1,2026-02-28 13:49:00,Completed,Takeaway,10.0
29,58,59,40,12,,2026-02-28 08:53:00,Completed,Takeaway,0.0
30,86,87,42,12,,2026-02-28 17:44:00,Completed,Dine-In,0.0
31,98,99,54,12,1,2026-03-01 09:46:00,Completed,Dine-In,10.0
32,60,61,56,12,,2026-03-01 17:55:00,Completed,Dine-In,0.0
33,90,91,55,13,1,2026-03-01 16:39:00,Completed,Dine-In,10.0
34,29,30,56,12,,2026-03-01 20:43:00,Completed,Takeaway,0.0
35,3,4,55,13,,2026-03-01 15:15:00,Completed,Takeaway,0.0
36,65,66,55,13,,2026-03-01 16:18:00,Completed,Dine-In,0.0
37,39,40,54,12,,2026-03-01 08:31:00,Completed,Dine-In,0.0
38,20,21,54,12,,2026-03-01 10:37:00,Completed,Takeaway,0.0
