transaction_id,order_id,amount,status,method
1,1,10.0,Paid,Card
2,2,30.0,Paid,Card
3,3,12.0,Paid,Card
4,4,29.0,Paid,Card
5,5,30.0,Paid,Card
6,6,21.0,Paid,Card
7,7,51.0,Paid,Cash
8,8,32.0,Paid,Cash
9,9,28.0,Paid,Cash
10,10,36.0,Paid,Card
11,11,64.0,Paid,Cash
12,12,40.0,Paid,Card
13,13,52.0,Paid,Card
14,14,20.0,Paid,Cash
15,15,30.0,Paid,Card
16,16,67.0,Paid,Card
17,17,28.0,Paid,Card
18,18,39.0,Paid,Card
19,19,5.0,Paid,Card
20,20,22.0,Paid,Cash
21,21,50.0,Paid,Cash
22,22,14.0,Paid,Cash
23,23,22.0,Paid,Cash
24,24,14.0,Paid,Card
25,25,0,Paid,Card
26,26,32.0,Paid,Card
27,27,18.0,Paid,Card
28,28,33.0,Paid,Card
29,29,80.0,Paid,Card
30,30,10.0,Paid,Cash
31,31,38.0,Paid,Card
32,32,47.0,Paid,Card
33,33,70.0,Paid,Cash
34,34,40.0,Paid,Cash
35,35,60.0,Paid,Cash
36,36,45.0,Paid,Card
37,37,52.0,Paid,Cash
38,38,17.0,Paid,Cash
39,39,70.0,Paid,Cash
40,40,50.0,Paid,Card
41,41,34.0,Paid,Cash
42,42,32.0,Paid,Card
43,43,47.0,Paid,Card
44,44,15.0,Paid,Cash
45,45,20.0,Paid,Card
46,46,40.0,Paid,Card
47,47,33.0,Paid,Cash
48,48,24.0,Paid,Card
49,49,30.0,Paid,Card
50,50,42.0,Paid,Cash
51,51,0,Paid,Card
52,52,22.0,Paid,Card
53,53,36.0,Paid,Card
54,54,47.0,Paid,Card
55,55,10.0,Paid,Cash
56,56,39.0,Paid,Card
57,57,16.0,Paid,Cash
58,58,60.0,Paid,Card
59,59,66.0,Paid,Card
60,60,76.0,Paid,Card
61,61,30.0,Paid,Card
62,62,16.0,Paid,Cash
63,63,14.0,Paid,Cash
64,64,6.0,Paid,Cash
65,65,18.0,Paid,Card
66,66,32.0,Paid,Cash
67,67,14.0,Paid,Cash
68,68,51.0,Paid,Cash
69,69,21.0,Paid,Card
70,70,52.0,Paid,Card
71,71,16.0,Paid,Card
72,72,58.0,Paid,Cash
73,73,30.0,Paid,Card
74,74,24.0,Paid,Card
75,75,54.0,Paid,Cash
76,76,48.0,Paid,Card
77,77,14.0,Paid,Cash
78,78,90.0,Paid,Cash
79,79,31.0,Paid,Card
80,80,32.0,Paid,Cash
81,81,14.0,Paid,Card
82,82,70.0,Paid,Cash
83,83,48.0,Paid,Card
84,84,10.0,Paid,Card
85,85,24.0,Paid,Cash
86,86,51.0,Paid,Card
87,87,16.0,Paid,Card
88,88,60.0,Paid,Cash
89,89,52.0,Paid,Card
90,90,47.0,Paid,Card
91,91,34.0,Paid,Cash
92,92,31.0,Paid,Cash
93,93,19.0,Paid,Card
94,94,56.0,Paid,Card
95,95,35.0,Paid,Card
96,96,37.0,Paid,Cash
97,97,88.0,Paid,Card
98,98,17.0,Paid,Card
99,99,2.0,Paid,Card
100,100,19.0,Paid,Card
101,101,45.0,Paid,Card
102,102,72.0,Paid,Cash
103,103,17.0,Paid,Cash
104,104,22.0,Paid,Cash
105,105,74.0,Paid,Card
106,106,29.0,Paid,Cash
107,107,42.0,Paid,Cash
108,108,39.0,Paid,Cash
109,109,62.0,Paid,Card
110,110,22.0,Paid,Card
111,111,45.0,Paid,Cash
112,112,31.0,Paid,Cash
113,113,18.0,Paid,Card
114,114,24.0,Paid,Card
115,115,0,Paid,Card
116,116,57.0,Paid,Card
117,117,24.0,Paid,Card
118,118,15.0,Paid,Cash
119,119,20.0,Paid,Card
120,120,38.0,Paid,Cash
121,121,51.0,Paid,Cash
122,122,30.0,Paid,Cash
123,123,38.0,Paid,Card
124,124,55.0,Paid,Card
125,125,14.0,Paid,Card
126,126,48.0,Paid,Card
127,127,57.0,Paid,Card
128,128,20.0,Paid,Cash
129,129,32.0,Paid,Card
130,130,30.0,Paid,Card
131,131,4.0,Paid,Cash
132,132,39.0,Paid,Cash
133,133,58.0,Paid,Card
134,134,78.0,Paid,Card
135,135,32.0,Paid,Card
136,136,54.0,Paid,Card
137,137,17.0,Paid,Cash
138,138,48.0,Paid,Card
139,139,42.0,Paid,Card
140,140,31.0,Paid,Card
141,141,0,Paid,Cash
142,142,10.0,Paid,Cash
143,143,30.0,Paid,Cash
144,144,32.0,Paid,Card
145,145,64.0,Paid,Cash
146,146,0,Paid,Card
147,147,47.0,Paid,Card
148,148,28.0,Paid,Card
149,149,37.0,Paid,Card
150,150,86.0,Paid,Card
151,151,14.0,Paid,Card
152,152,21.0,Paid,Card
153,153,22.0,Paid,Cash
154,154,36.0,Paid,Cash
155,155,49.0,Paid,Card
156,156,15.0,Paid,Cash
157,157,16.0,Paid,Card
158,158,30.0,Paid,Card
159,159,29.0,Paid,Card
160,160,62.0,Paid,Cash
161,161,92.0,Paid,Card
162,162,57.0,Paid,Cash
163,163,64.0,Paid,Cash
164,164,29.0,Paid,Card
165,165,17.0,Paid,Card
166,166,40.0,Paid,Card
167,167,14.0,Paid,Card
168,168,54.0,Paid,Card
169,169,22.0,Paid,Cash
170,170,10.0,Paid,Cash
171,171,12.0,Paid,Cash
172,172,43.0,Paid,Cash
173,173,21.0,Paid,Card
174,174,78.0,Paid,Card
175,175,5.0,Paid,Card
176,176,48.0,Paid,Card
177,177,40.0,Paid,Cash
178,178,24.0,Paid,Card
179,179,62.0,Paid,Card
180,180,15.0,Paid,Card
181,181,43.0,Paid,Card
182,182,57.0,Paid,Card
183,183,4.0,Paid,Cash
184,184,32.0,Paid,Cash
185,185,28.0,Paid,Card
186,186,30.0,Paid,Cash
187,187,23.0,Paid,Cash
188,188,20.0,Paid,Cash
189,189,76.0,Paid,Card
190,190,45.0,Paid,Card
191,191,10.0,Paid,Cash
192,192,24.0,Paid,Card
193,193,47.0,Paid,Cash
194,194,10.0,Paid,Cash
195,195,38.0,Paid,Cash
196,196,47.0,Paid,Card
197,197,12.0,Paid,Card
198,198,41.0,Paid,Card
199,199,20.0,Paid,Cash
200,200,48.0,Paid,Card
201,201,63.0,Paid,Card
202,202,2.0,Paid,Cash
203,203,10.0,Paid,Card
204,204,72.0,Paid,Cash
205,205,60.0,Paid,Card
206,206,14.0,Paid,Card
207,207,56.0,Paid,Cash
208,208,58.0,Paid,Cash
209,209,44.0,Paid,Cash
210,210,30.0,Paid,Card
211,211,45.0,Paid,Cash
212,212,35.0,Paid,Cash
213,213,10.0,Paid,Card
214,214,22.0,Paid,Card
215,215,24.0,Paid,Card
216,216,54.0,Paid,Cash
217,217,51.0,Paid,Card
218,218,5.0,Paid,Card
219,219,32.0,Paid,Card
220,220,10.0,Paid,Card
221,221,88.0,Paid,Card
222,222,28.0,Paid,Card
223,223,15.0,Paid,Cash
224,224,86.0,Paid,Cash
225,225,30.0,Paid,Card
226,226,48.0,Paid,Cash
227,227,34.0,Paid,Cash
228,228,60.0,Paid,Cash
229,229,16.0,Paid,Cash
230,230,37.0,Paid,Card
231,231,10.0,Paid,Cash
232,232,14.0,Paid,Card
233,233,5.0,Paid,Cash
234,234,66.0,Paid,Cash
235,235,14.0,Paid,Card
236,236,18.0,Paid,Cash
237,237,44.0,Paid,Cash
238,238,64.0,Paid,Card
239,239,20.0,Paid,Card
240,240,30.0,Paid,Card
241,241,48.0,Paid,Card
242,242,30.0,Paid,Card
243,243,72.0,Paid,Cash
