rota_id,staff_id,start_time,end_time,work_date
1,1,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
2,2,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
3,3,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
4,4,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
5,5,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
6,6,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
7,7,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
8,8,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
9,9,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
10,10,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
11,11,2026-02-26 09:00:00,2026-02-26 18:00:00,2026-02-26
12,12,2026-02-26 08:00:00,2026-02-26 12:30:00,2026-02-26
13,13,2026-02-26 12:30:00,2026-02-26 17:00:00,2026-02-26
14,12,2026-02-26 17:00:00,2026-02-26 21:00:00,2026-02-26
15,1,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
16,2,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
17,3,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
18,4,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
19,5,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
20,6,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
21,7,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
22,8,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
23,9,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
24,10,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
25,11,2026-02-27 09:00:00,2026-02-27 18:00:00,2026-02-27
26,12,2026-02-27 08:00:00,2026-02-27 12:30:00,2026-02-27
27,13,2026-02-27 12:30:00,2026-02-27 17:00:00,2026-02-27
28,12,2026-02-27 17:00:00,2026-02-27 21:00:00,2026-02-27
29,1,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
30,2,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
31,3,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
32,4,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
33,5,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
34,6,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
35,7,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
36,8,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
37,9,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
38,10,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
39,11,2026-02-28 09:00:00,2026-02-28 18:00:00,2026-02-28
40,12,2026-02-28 08:00:00,2026-02-28 12:30:00,2026-02-28
41,13,2026-02-28 12:30:00,2026-02-28 17:00:00,2026-02-28
42,12,2026-02-28 17:00:00,2026-02-28 21:00:00,2026-02-28
43,1,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
44,2,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
45,3,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
46,4,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
47,5,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
48,6,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
49,7,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
50,8,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
51,9,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
52,10,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
53,11,2026-03-01 09:00:00,2026-03-01 18:00:00,2026-03-01
54,12,2026-03-01 08:00:00,2026-03-01 12:30:00,2026-03-01
55,13,2026-03-01 12:30:00,2026-03-01 17:00:00,2026-03-01
56,12,2026-03-01 17:00:00,2026-03-01 21:00:00,2026-03-01
57,1,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
58,2,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
59,3,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
60,4,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
61,5,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
62,6,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
63,7,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
64,8,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
65,9,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
66,10,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
67,11,2026-03-02 09:00:00,2026-03-02 18:00:00,2026-03-02
68,12,2026-03-02 08:00:00,2026-03-02 12:30:00,2026-03-02
69,13,2026-03-02 12:30:00,2026-03-02 17:00:00,2026-03-02
70,12,2026-03-02 17:00:00,2026-03-02 21:00:00,2026-03-02
71,1,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
72,2,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
73,3,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
74,4,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
75,5,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
76,6,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
77,7,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
78,8,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
79,9,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
80,10,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
81,11,2026-03-03 09:00:00,2026-03-03 18:00:00,2026-03-03
82,12,2026-03-03 08:00:00,2026-03-03 12:30:00,2026-03-03
83,13,2026-03-03 12:30:00,2026-03-03 17:00:00,2026-03-03
84,12,2026-03-03 17:00:00,2026-03-03 21:00:00,2026-03-03
85,1,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
86,2,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
87,3,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
88,4,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
89,5,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
90,6,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
91,7,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
92,8,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
93,9,2026-03-04 09:00:00,2026-03-04 18:00:00,2026-03-04
