log_id,ing_id,rota_id,change_amount,created_at
1,1,12,200,2026-02-26 08:00:00
2,2,12,200,2026-02-26 08:00:00
3,3,12,200,2026-02-26 08:00:00
4,4,12,200,2026-02-26 08:00:00
5,5,12,200,2026-02-26 08:00:00
6,6,12,200,2026-02-26 08:00:00
7,7,12,200,2026-02-26 08:00:00
8,8,12,200,2026-02-26 08:00:00
9,1,13,-1,2026-02-26 13:51:00
10,2,13,-1,2026-02-26 13:51:00
11,1,13,-2,2026-02-26 13:51:00
12,2,13,-2,2026-02-26 13:51:00
13,1,13,-1,2026-02-26 13:51:00
14,2,13,-1,2026-02-26 13:51:00
15,1,12,-1,2026-02-26 09:03:00
16,2,12,-1,2026-02-26 09:03:00
17,3,12,-1,2026-02-26 09:03:00
18,4,12,-2,2026-02-26 09:03:00
19,1,12,-2,2026-02-26 09:03:00
20,2,12,-2,2026-02-26 09:03:00
21,1,12,-1,2026-02-26 09:03:00
22,2,12,-1,2026-02-26 09:03:00
23,1,12,-1,2026-02-26 11:28:00
24,2,12,-1,2026-02-26 11:28:00
25,3,12,-1,2026-02-26 11:28:00
26,1,13,-1,2026-02-26 15:00:00
27,2,13,-1,2026-02-26 15:00:00
28,3,13,-1,2026-02-26 15:00:00
29,1,13,-1,2026-02-26 15:00:00
30,2,13,-1,2026-02-26 15:00:00
31,3,13,-1,2026-02-26 15:00:00
32,1,13,-1,2026-02-26 15:00:00
33,2,13,-1,2026-02-26 15:00:00
34,1,13,-2,2026-02-26 16:25:00
35,2,13,-2,2026-02-26 16:25:00
36,3,13,-2,2026-02-26 16:25:00
37,4,13,-4,2026-02-26 16:25:00
38,1,14,-1,2026-02-26 18:01:00
39,2,14,-1,2026-02-26 18:01:00
40,3,14,-1,2026-02-26 18:01:00
41,4,14,-2,2026-02-26 18:01:00
42,1,14,-1,2026-02-26 18:01:00
43,2,14,-1,2026-02-26 18:01:00
44,7,14,-1,2026-02-26 18:01:00
45,8,14,-2,2026-02-26 18:01:00
46,6,14,-1,2026-02-26 18:01:00
47,1,13,-2,2026-02-26 12:48:00
48,2,13,-2,2026-02-26 12:48:00
49,7,13,-2,2026-02-26 12:48:00
50,8,13,-4,2026-02-26 12:48:00
51,6,13,-2,2026-02-26 12:48:00
52,1,13,-1,2026-02-26 12:48:00
53,2,13,-1,2026-02-26 12:48:00
54,3,13,-1,2026-02-26 12:48:00
55,4,13,-2,2026-02-26 12:48:00
56,1,13,-1,2026-02-26 12:48:00
57,2,13,-1,2026-02-26 12:48:00
58,3,13,-1,2026-02-26 12:48:00
59,5,13,-2,2026-02-26 12:48:00
60,6,13,-2,2026-02-26 12:48:00
61,1,13,-2,2026-02-26 16:42:00
62,2,13,-2,2026-02-26 16:42:00
63,7,13,-2,2026-02-26 16:42:00
64,8,13,-4,2026-02-26 16:42:00
65,6,13,-2,2026-02-26 16:42:00
66,1,14,-1,2026-02-26 17:01:00
67,2,14,-1,2026-02-26 17:01:00
68,3,14,-1,2026-02-26 17:01:00
69,1,14,-1,2026-02-26 17:01:00
70,2,14,-1,2026-02-26 17:01:00
71,7,14,-1,2026-02-26 17:01:00
72,8,14,-2,2026-02-26 17:01:00
73,6,14,-1,2026-02-26 17:01:00
74,1,12,-1,2026-02-26 09:00:00
75,2,12,-1,2026-02-26 09:00:00
76,1,12,-1,2026-02-26 09:00:00
77,2,12,-1,2026-02-26 09:00:00
